method,layer,accuracy
factor_analysis,-1,0.5146484375
factor_analysis,-2,0.580078125
factor_analysis,-3,0.58203125
factor_analysis,-4,0.583984375
factor_analysis,-5,0.5791015625
factor_analysis,-6,0.58203125
factor_analysis,-7,0.5810546875
factor_analysis,-8,0.5859375
factor_analysis,-9,0.57421875
factor_analysis,-10,0.5693359375
factor_analysis,-11,0.564453125
factor_analysis,-12,0.580078125
factor_analysis,-13,0.58203125
factor_analysis,-14,0.5849609375
factor_analysis,-15,0.57421875
factor_analysis,-16,0.5859375
factor_analysis,-17,0.56640625
factor_analysis,-18,0.5625
factor_analysis,-19,0.5517578125
factor_analysis,-20,0.5498046875
factor_analysis,-21,0.5439453125
factor_analysis,-22,0.5625
factor_analysis,-23,0.556640625
factor_analysis,-24,0.5810546875
factor_analysis,-25,0.5703125
factor_analysis,-26,0.5419921875
factor_analysis,-27,0.5380859375
factor_analysis,-28,0.5458984375
factor_analysis,-29,0.5263671875
factor_analysis,-30,0.478515625
factor_analysis,-31,0.517578125
pca,-1,0.498046875
pca,-2,0.5263671875
pca,-3,0.5380859375
pca,-4,0.552734375
pca,-5,0.5576171875
pca,-6,0.5458984375
pca,-7,0.5595703125
pca,-8,0.560546875
pca,-9,0.5634765625
pca,-10,0.5634765625
pca,-11,0.5693359375
pca,-12,0.576171875
pca,-13,0.5859375
pca,-14,0.5791015625
pca,-15,0.5634765625
pca,-16,0.580078125
pca,-17,0.5654296875
pca,-18,0.5634765625
pca,-19,0.5546875
pca,-20,0.552734375
pca,-21,0.537109375
pca,-22,0.55078125
pca,-23,0.5517578125
pca,-24,0.5703125
pca,-25,0.544921875
pca,-26,0.529296875
pca,-27,0.5361328125
pca,-28,0.537109375
pca,-29,0.537109375
pca,-30,0.47265625
pca,-31,0.513671875
